SMA5,EMA5,SMA10,EMA10,SMA50,EMA50,SMA100,EMA100,Close
0.386607,0.3889806458,0.3895088,0.382072714,0.34741074,0.3546274322,0.34354909,0.3471101387,0.395089
0.3870534,0.3902727638,0.3910713,0.3840334933,0.34825896,0.356126631,0.34310266,0.3480160171,0.392857
0.3870534,0.3844378426,0.3874999,0.3819852218,0.34875004,0.3567792337,0.34254463,0.3485061554,0.372768
0.3848214,0.379059895,0.3852678,0.3794977269,0.3493304,0.3572311853,0.34207588,0.3488981919,0.368304
0.3736608,0.36580193,0.3794643,0.3721865038,0.3493304,0.3565274525,0.34138392,0.3487078515,0.339286
0.3656252,0.36217162,0.3761161,0.3690455031,0.34950898,0.3564640622,0.34098214,0.3488306861,0.354911
0.3535716,0.3523107467,0.3703125,0.362417048,0.3490179,0.3555277853,0.34044642,0.3485090686,0.332589
0.3433038,0.3420168311,0.3651786,0.3549646757,0.3483929,0.354190578,0.33984375,0.3479728296,0.321429
0.3334822,0.3344098874,0.3591518,0.3484612801,0.34763396,0.3528182416,0.3391741,0.3474029914,0.319196
0.3325892,0.3345469249,0.353125,0.3459812292,0.34718752,0.3521124675,0.33892856,0.347153843,0.334821
0.3330356,0.34207895,0.3493304,0.348010642,0.3472768,0.3523097432,0.33912945,0.3473516481,0.357143
0.3392856,0.3493323,0.3464286,0.3508885253,0.34767858,0.352761871,0.33930802,0.3476781303,0.363839
0.345982,0.3511918666,0.3446429,0.3516198843,0.34839288,0.3528461505,0.33946427,0.3478213555,0.354911
0.3544642,0.3546635778,0.3439732,0.3534357235,0.34919644,0.3531897132,0.33966516,0.3480943385,0.361607
0.3611608,0.3592103852,0.346875,0.3561390465,0.35004466,0.3537824304,0.33975445,0.3484945298,0.368304
0.3638394,0.3629855901,0.3484375,0.3587566744,0.35089288,0.3544394331,0.33986606,0.3489309946,0.370536
0.3629466,0.3617820601,0.3511161,0.3588690973,0.3513393,0.3546329848,0.33964285,0.3491378066,0.359375
0.3611608,0.3565153734,0.3535714,0.3565259887,0.35129466,0.3542937304,0.33921874,0.3490753154,0.345982
0.3584822,0.3537482489,0.3564732,0.355014718,0.35178572,0.3540553096,0.33901784,0.3490582596,0.348214
0.3566964,0.3556238326,0.3589286,0.3558074966,0.3525893,0.354263925,0.3389732,0.3492625515,0.359375
0.355357,0.3583622217,0.3595982,0.3572677699,0.35334822,0.3546394181,0.3390848,0.349551194,0.363839
0.355357,0.3586998145,0.3591518,0.3576509027,0.35379464,0.3548251272,0.33915176,0.3497457249,0.359375
0.358482,0.3596688763,0.3598214,0.3583701931,0.3542857,0.355091083,0.33921872,0.3499806016,0.361607
0.3611606,0.3603149176,0.3598214,0.3589587034,0.35473212,0.3553466091,0.33933033,0.3502108273,0.361607
0.3598214,0.3577696117,0.3582589,0.3578169392,0.35531248,0.355241997,0.33946426,0.350259702,0.352679
0.3575894,0.3560727411,0.3564732,0.3568827684,0.35593748,0.3551414873,0.33968748,0.3503076089,0.352679
0.3517858,0.3475008274,0.3535714,0.3520599014,0.35598212,0.3541695467,0.33975444,0.3499125473,0.330357
0.3455358,0.3417862183,0.3520089,0.3481139193,0.35584818,0.3532357213,0.33991069,0.3495253088,0.330357
0.3401786,0.3394644789,0.3506696,0.3456970249,0.35589282,0.3525135754,0.34008926,0.3492341343,0.334821
0.3357142,0.3364286526,0.3477678,0.3429079295,0.35584818,0.3516446901,0.34020087,0.3488603297,0.330357
0.3321426,0.3358927684,0.344866,0.3414375787,0.35584818,0.3509849375,0.34053569,0.3485823232,0.334821
